name,type,source,producers,genre,studio,episodes,status,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,duration_in_minutes,log_scored_by,log_members,log_favorites,season,year,only_year,weekday,time,time_in_minutes
Cowboy Bebop,TV,Original,Bandai Visual,Action,Sunrise,26.0,Finished Airing,1998-04-03,1999-04-02,24 min per ep,R - 17+ (violence & profanity),8.81,405664,26,39,795733,43460,Spring 1998,Saturdays at 01:00 (JST),24.0,12.91328297482968,13.587020238124726,10.679619263209762,Spring,1998-01-01,1998,Saturdays,01:00:00,60.0
Trigun,TV,Manga,Victor Entertainment,Action,Madhouse,26.0,Finished Airing,1998-04-01,1998-09-03,24 min per ep,PG-13 - Teens 13 or older,8.3,212537,255,146,408548,10432,Spring 1998,Thursdays at 01:15 (JST),24.0,12.266876074888998,12.920367137129036,9.25272913846797,Spring,1998-01-01,1998,Thursdays,01:15:00,75.0
Witch Hunter Robin,TV,Original,Bandai Visual,Action,Sunrise,26.0,Finished Airing,2002-07-02,2002-12-02,25 min per ep,PG-13 - Teens 13 or older,7.33,32837,2371,1171,79397,537,Summer 2002,Tuesdays at Unknown,25.0,10.399341660371974,11.282228458001104,6.2878585601617845,Summer,2002-01-01,2002,Tuesdays,,
Bouken Ou Beet,TV,Manga,TV Tokyo,Adventure,Toei Animation,52.0,Finished Airing,2004-09-30,2005-09-02,23 min per ep,PG - Children,7.03,4894,3544,3704,11708,14,Fall 2004,Thursdays at 18:30 (JST),23.0,8.49596955496461,9.368113055848724,2.70805020110221,Fall,2004-01-01,2004,Thursdays,18:30:00,1110.0
Hachimitsu to Clover,TV,Manga,Genco,Comedy,J.C.Staff,24.0,Finished Airing,2005-04-15,2005-09-02,23 min per ep,PG-13 - Teens 13 or older,8.12,57065,419,536,172274,3752,Spring 2005,Fridays at 00:35 (JST),23.0,10.95196377171044,12.056847316225408,8.23031079913502,Spring,2005-01-01,2005,Fridays,00:35:00,35.0
Initial D Fourth Stage,TV,Manga,OB Planning,Action,A.C.G.T.,24.0,Finished Airing,2004-04-17,2006-02-01,27 min per ep,PG-13 - Teens 13 or older,8.23,42555,298,1262,73438,635,Spring 2004,Unknown,27.0,10.658576134636256,11.204210408643931,6.455198563340122,Spring,2004-01-01,2004,Unknown,,
Monster,TV,Manga,VAP,Drama,Madhouse,74.0,Finished Airing,2004-04-07,2005-09-02,24 min per ep,R+ - Mild Nudity,8.69,131233,49,156,394387,19188,Spring 2004,Wednesdays at 00:40 (JST),24.0,11.784737268260976,12.88509047528425,9.862092477169742,Spring,2004-01-01,2004,Wednesdays,00:40:00,40.0
Tennis no Ouji-sama,TV,Manga,Production I.G,Action,Trans Arts,178.0,Finished Airing,2001-10-10,2005-03-02,22 min per ep,PG-13 - Teens 13 or older,8.0,50306,577,856,113662,2885,Fall 2001,Unknown,22.0,10.82589951141522,11.640993209012725,7.9676267393338165,Fall,2001-01-01,2001,Unknown,,
Sunabouzu,TV,Manga,GDH,Action,Gonzo,24.0,Finished Airing,2004-10-06,2005-03-03,24 min per ep,R - 17+ (violence & profanity),7.5,36185,1679,1049,89817,673,Fall 2004,Unknown,24.0,10.496427582679042,11.405540679638088,6.513230110912307,Fall,2004-01-01,2004,Unknown,,
Texhnolyze,TV,Original,Group TAC,Action,Madhouse,22.0,Finished Airing,2003-04-17,2003-09-02,23 min per ep,R+ - Mild Nudity,7.78,32198,942,690,138500,2864,Spring 2003,Thursdays at 03:28 (JST),23.0,10.379690675149634,11.83863282480007,7.96032362914884,Spring,2003-01-01,2003,Thursdays,03:28:00,208.0
Yakitate!! Japan,TV,Manga,TV Tokyo,Comedy,Sunrise,69.0,Finished Airing,2004-10-12,2006-03-01,24 min per ep,PG-13 - Teens 13 or older,8.01,27616,566,1388,65862,785,Fall 2004,Unknown,24.0,10.226186804119793,11.095332106062079,6.666956792429207,Fall,2004-01-01,2004,Unknown,,
Neon Genesis Evangelion,TV,Original,TV Tokyo,Action,Gainax,26.0,Finished Airing,1995-10-04,1996-03-02,24 min per ep,PG-13 - Teens 13 or older,8.33,402215,215,50,715531,45828,Fall 1995,Wednesdays at 18:30 (JST),24.0,12.904744536732819,13.480781600947807,10.732672357496405,Fall,1995-01-01,1995,Wednesdays,18:30:00,1110.0
.hack//Sign,TV,Original,Bandai Visual,Game,Bee Train,26.0,Finished Airing,2002-04-04,2002-09-02,24 min per ep,PG-13 - Teens 13 or older,7.08,63557,3341,704,135481,1229,Spring 2002,Thursdays at Unknown,24.0,11.059708153824552,11.81659406914929,7.114769448366463,Spring,2002-01-01,2002,Thursdays,,
Ai Yori Aoshi,TV,Manga,Movic,Harem,J.C.Staff,24.0,Finished Airing,2002-04-11,2002-09-02,23 min per ep,PG-13 - Teens 13 or older,7.2,40592,2844,1139,81572,415,Spring 2002,Unknown,23.0,10.611350916931753,11.309253603845614,6.030685260261263,Spring,2002-01-01,2002,Unknown,,
Arc the Lad,TV,Game,Sony Pictures Entertainment,Action,Bee Train,26.0,Finished Airing,1999-04-05,1999-09-01,22 min per ep,R - 17+ (violence & profanity),6.59,4474,5373,3623,12444,16,Spring 1999,Mondays at 19:00 (JST),22.0,8.406261630708956,9.429074214801693,2.833213344056216,Spring,1999-01-01,1999,Mondays,19:00:00,1140.0
Avenger,TV,Original,Production I.G,Adventure,Bee Train,13.0,Finished Airing,2003-10-02,2003-12-02,24 min per ep,R - 17+ (violence & profanity),5.96,5451,7805,3427,14237,19,Fall 2003,Unknown,24.0,8.603737792816423,9.563669725663818,2.995732273553991,Fall,2003-01-01,2003,Unknown,,
Beck,TV,Manga,Marvelous,Comedy,Madhouse,26.0,Finished Airing,2004-10-07,2005-03-03,25 min per ep,R - 17+ (violence & profanity),8.36,91614,197,448,198237,6022,Fall 2004,Thursdays at 01:30 (JST),25.0,11.425350292714276,12.197223608030802,8.70334075304372,Fall,2004-01-01,2004,Thursdays,01:30:00,90.0
Blue Gender,TV,Original,Youmex,Adventure,AIC,26.0,Finished Airing,1999-10-08,2000-03-03,23 min per ep,R+ - Mild Nudity,7.11,21542,3232,1586,54058,360,Fall 1999,Thursdays at 01:55 (JST),23.0,9.977806216778427,10.897831321694126,5.8888779583328805,Fall,1999-01-01,1999,Thursdays,01:55:00,115.0
Chobits,TV,Manga,TBS,Sci-Fi,Madhouse,26.0,Finished Airing,2002-04-03,2002-09-02,24 min per ep,PG-13 - Teens 13 or older,7.51,182381,1629,211,334276,3418,Spring 2002,Wednesdays at 02:20 (JST),24.0,12.113858667542235,12.719725269562716,8.137103389639302,Spring,2002-01-01,2002,Wednesdays,02:20:00,140.0
Chrno Crusade,TV,Manga,Lantis,Action,Gonzo,24.0,Finished Airing,2003-11-25,2004-06-01,23 min per ep,R - 17+ (violence & profanity),7.75,81366,985,530,172946,1946,Fall 2003,Tuesdays at 02:28 (JST),23.0,11.306725064386239,12.060740468161097,7.5740450053721995,Fall,2003-01-01,2003,Tuesdays,02:28:00,148.0
D.N.Angel,TV,Manga,Kadokawa Shoten,Action,Xebec,26.0,Finished Airing,2003-04-03,2003-09-02,23 min per ep,PG-13 - Teens 13 or older,7.3,78088,2456,637,148256,1448,Spring 2003,Unknown,23.0,11.265604480837757,11.906702533283202,7.278628942320682,Spring,2003-01-01,2003,Unknown,,
D.C.: Da Capo,TV,Visual novel,Lantis,Harem,feel.,26.0,Finished Airing,2003-07-05,2003-12-02,24 min per ep,PG-13 - Teens 13 or older,6.86,24731,4164,1485,59502,183,Summer 2003,Saturdays at Unknown,24.0,10.115853230678459,10.993782010430735,5.214935757608986,Summer,2003-01-01,2003,Saturdays,,
DearS,TV,Manga,Bandai Visual,Sci-Fi,Daume,12.0,Finished Airing,2004-07-11,2004-09-02,23 min per ep,R+ - Mild Nudity,6.73,61303,4750,882,110662,362,Summer 2004,Sundays at Unknown,23.0,11.02360037265024,11.6142448261515,5.8944028342648505,Summer,2004-01-01,2004,Sundays,,
Rozen Maiden,TV,Manga,Mellow Head,Action,Nomad,12.0,Finished Airing,2004-10-08,2004-12-02,24 min per ep,PG-13 - Teens 13 or older,7.52,76580,1617,610,154546,1929,Fall 2004,Fridays at 01:55 (JST),24.0,11.246104283185776,11.948253536178074,7.5652752818989315,Fall,2004-01-01,2004,Fridays,01:55:00,115.0
Rozen Maiden: Träumend,TV,Manga,Mellow Head,Action,Nomad,12.0,Finished Airing,2005-10-21,2006-01-02,24 min per ep,PG-13 - Teens 13 or older,7.73,48438,1053,1104,84149,481,Fall 2005,Fridays at 01:55 (JST),24.0,10.788060553358148,11.340356199618952,6.1779441140506,Fall,2005-01-01,2005,Fridays,01:55:00,115.0
Basilisk: Kouga Ninpou Chou,TV,Manga,GDH,Action,Gonzo,24.0,Finished Airing,2005-04-13,2005-09-02,24 min per ep,R - 17+ (violence & profanity),7.64,57199,1249,722,132611,1345,Spring 2005,Unknown,24.0,10.95430917736789,11.795182850376783,7.204892510204673,Spring,2005-01-01,2005,Unknown,,
